latitude,longitude,name
40.61584,22.965335,Το Ρέμα
40.613927,22.9635608,YAMAHA Μερεμετσάκης
40.6126662,22.9609198,Grill Brothers
40.6128814,22.9577113,Flex - Ladies Fitness Hall
40.614042,22.9602596,Το Μικρό Παρίσι
40.6103464,22.9608031,Pizza Latina
40.609999,22.963702,Laptopolis
40.6116954,22.9673685,1ο Γυμνασιο Τουμπασ
40.6106987,22.9655925,ΔΕΔΔΗΕ Ανατολικής Θεσσαλονίκης
40.6096238,22.96951,ΕΛΤΑ
40.6069605,22.9601521,SHELL ΜΠΟΤΣΑΡΗ 68 ΜΥΡΤΕΑ 155
40.6071167,22.9581536,Sense Shop
40.6068488,22.9553786,My market
40.6048587,22.9563648,ΜΟΝΟΚΥΚΛΟ
40.6071459,22.953497,Μουσείο Μέριμνας Ποντίων Κυριών “Κεντώντας τη Μνήμη”
40.608251,22.953392,Coffee Island
40.6087343,22.951719,Τεχνικό Επιμελητήριο Κεντρικής Μακεδονίας
40.6118,22.9525151,Ιερός Ναός Αγίων Κυρίλλου και Μεθοδίου
40.6145128,22.9511165,Παραλιακό Μέτωπο Θεσσαλονίκης
40.6171212,22.9548615,ΣΚΛΑΒΕΝΙΤΗΣ
40.6157638,22.9540598,Οικία Μιχαηλίδη
40.6126223,22.9728842,FRAOULA koozina bar
40.6156355,22.9738669,Ιερός Ναός Αγίας Βαρβάρας Θεσσαλονίκης
40.6149802,22.9698261,Το Νέον
40.6107929,22.9719095,Εσπεράντο
40.6107611,22.9743188,Plus3
40.613803,22.9797958,VICKO Τούμπας
40.6125419,22.9830303,Κωτσόβολος
40.6099463,22.9842277,Ρακές & Γεύσεις
40.6051417,22.974482,Βρεγμένη Γάτα
40.6058209,22.9697988,Χαΐνης
40.6028881,22.9644199,Μότο Μάρκετ
40.6400893,22.9431602,PARK HOTEL
40.6397147,22.9394395,ad Imperial Palace Hotel Thessaloniki
40.6458263,22.9385131,Ιερός Ναός Παναγίας Φανερωμένης
40.6485215,22.9356283,Βενζινάδικο Ελίν
40.6455607,22.9354912,Άγαλμα Γεωργίου Σαϊνόβιτς-Ιβάνοφ
40.6451494,22.942546,Καφέ Ουζερί Πέτμεκων
40.6445999,22.9405334,xhordi
40.6450975,22.9483956,Αστυνομικό Τμήμα Συκεών
40.644517,22.9467963,Πολιτιστική Γειτονιά Δήμου Νεάπολης- Συκεων (Cultural Neighborhood of the Municipality of Neapolis-Sikies)
40.641979,22.946077,DK GROUP
40.6403544,22.9453957,Golden Gloves Gym
40.6415611,22.9415322,ΔΕΔΔΗΕ ΑΕ
40.6388002,22.9381999,Hotel Kastoria
40.637122,22.9376175,Γορίλας
40.636975,22.9348171,Manhattan cocktails & sushi bar
40.6387819,22.9358947,ΟΑΕΔ Θεσσαλονίκης ΚΠΑ2
40.6380455,22.9348005,Δ.ΙΕΚ Θεσσαλονίκης
40.6413642,22.9364807,"ΧΑΡΤΑΜΠΑΣ, Δ. - Ι. ΧΑΡΤΑΜΠΑΣ Ο.Ε."
40.6415663,22.9336329,Holiday Inn Thessaloniki
40.6399496,22.936646,Capital Exchange Thessaloniki
40.6412954,22.9395104,Thrift Store
40.6363552,22.9407597,ΟΥΖΟΥ ΜΕΛΑΘΡΟΝ Α.Ε.
40.6344727,22.937081,Φουλ του Μεζέ
40.6332975,22.9393535,7 Θάλασσες
40.6314758,22.9415739,Αγιολί
40.6279223,22.9468823,Goody's Burger House
40.6222915,22.9569569,ΕΡΤ3
40.6119555,22.9701876,ΗΛΕΚΤΡΟΝΙΚΟ ΤΣΙΓΑΡΟ ΤΟΥΜΠΑ ROYAL STAR
40.6110965,22.9701808,Allaboutcar
40.6098999,22.975444,"ΕΙΔΗ ΡΑΠΤΙΚΗΣ, ΚΛΩΣΤΕΣ, ΕΠΙΔΙΟΡΘΩΣΕΙΣ"
40.6125813,22.9790921,Bikes And Roses Bikestore
40.6142265,22.9739834,Ρακόμελο
40.6170408,22.9766648,Smile Market
40.6171333,22.9738696,Ladies First
40.6156947,22.9766986,Καφενείον Το Νταλλαβέρι
40.616285,22.9792147,Bestdeals.gr
40.6145955,22.9788555,Nessuno Barcaffe
40.6132392,22.9812873,Οπτικά Ανδρεάδη Τούμπα - Lenshop
40.6101488,22.9809655,ΗΛΕΚΤΡΟΝΙΟ (Μπαταρίες αυτοκινήτου - μοτοσυκλέτας - παντός τύπου)
40.6100189,22.97888,Νικόπουλος Αλέξανδρος
40.6080182,22.9768053,Κύπρος Flowers and Feelings
40.6070943,22.9755053,"ΦΤΙΚΑ, Γ., ΑΦΟΙ, Ο.Ε."
40.60655,22.9776906,Pizza Dell Arte
40.6044758,22.9802928,Βεζού Ρόβα Σμαραγδα
40.6043065,22.9812054,Olla Supermarket - Κ.Τούμπα
40.6018228,22.9809841,REDWELL (ΖΑΧΑΡΙΑΔΗΣ - ΜΠΕΛΛΟΣ)
40.6010728,22.9826424,Κουκουρικος Νικος - Niko Glass Center
40.6001804,22.9812167,Voras Flavors
40.6007397,22.9756741,"Φούρνος,Το Καρβέλι"
40.6019049,22.9730223,Περιφερειακή Βιβλιοθήκη Χαριλάου
40.6008183,22.9715431,Gym and Tonic
40.5986453,22.967222,Μασούτης
40.5974963,22.965775,ΙΑΠΩΝΙΚΗ Α.Ε.
40.597517,22.967612,ΔΙΓΚΑΣ ΦΡΟΝΤΙΔΑ Ε.Ε. - DigasCare
40.5967877,22.9630612,Μασούτης
40.5970135,22.9607509,ΑΣΚΛΗΠΙΕΙΟ
40.5912751,22.9623385,ΕΜΠΟΡΙΚόΝ
40.5909757,22.9670138,Noisis
40.5869951,22.9751317,ΓΗΠΕΔΑ ΝΙΚΟΛΟΥΔΗ
40.5947864,22.9761057,24h mini M
40.6320901,22.9746475,Δασική Υπηρεσία
40.6312382,22.9669877,Ιερός Ναός Κοιμήσεως της Θεοτόκου
40.6376693,22.9661557,Θέατρο Δάσους.
40.6384593,22.9612089,Το Κτήμα
40.6372887,22.9586356,Γενικό Νοσοκομείο Θεσσαλονίκης «Ο Άγιος Δημήτριος»
40.643705,22.964599,AVIN
40.6428191,22.970494,Πατάτες - φασόλια Νευροκοπίου
40.6476792,22.9607109,"Σύγχρονο καφενείο ""Το Σταυροδρόμι"""
40.641322,22.9583087,Castra Τerrace Βar
40.647055,22.9504,Βαπτιστικά - Γάμος | Φενέρης Ζαφείριος
40.642107,22.9503449,Οθωμανικό Ταφικό Μνημείο του Μουσά Μπαμπά
40.6395864,22.9528185,Βυζαντινό Λουτρό Θεσσαλονίκης
40.637021,22.950339,Pharmacy128
40.639075,22.957884,Little Big House
40.6370124,22.95531,Το Σπίτι του Πασά
40.6380087,22.9531834,Μασούτης
40.6400254,22.9512193,Multishop Tobacco 24 hours Ano Poli
40.6599718,22.9201181,Δημοτικό Στάδιο Αμπελοκήπων
40.6461589,22.9079753,ΔΕΡΒΙΣΗ ΙΚΕ
40.6572224,22.8915653,Κεντρική Λαχαναγορά
40.6770414,22.8995586,Lidl
40.673707,22.9232381,Το Στέκι Του Παπαγάλου
40.6690484,22.9329659,Ρέτσος
40.6678517,22.9281376,Ιερός Ναός Αγίου Κωνσταντίνου
40.6633466,22.9441667,Καφέ-Ουζερί Λαζίκας
40.6591197,22.9482421,Θερινό Σινέ Τζένη Καρέζη
40.6544978,22.9549634,ΣΚΛΑΒΕΝΙΤΗΣ
40.6224509,22.9744881,Μάνος Φούρνος
40.6232932,22.9726341,Εκκλησία Άγιος Σπυρίδων
40.6195489,22.9719489,Ουσαντζοπουλοσ Ιωαννησ
40.6205644,22.9705539,1ο Γυμνάσιο Τριανδρίας
40.6194121,22.9681798,ΣΑΚΑΤΖΙΔΗΣ ΣΤΕΦΑΝΟΣ
40.6157806,22.9831646,ΙΕΡΟΣ ΝΑΟΣ ΑΓΙΟΥ ΝΕΚΤΑΡΙΟΥ
40.6145471,22.9876569,Γέφυρα Περαιβού
40.6102802,22.9950858,Μασούτης
40.6034474,22.9981269,ΚΡΕΤΑ ΦΑΡΜ Α.Β.Ε.Ε.
40.6011162,23.0068785,Πρότυπα Εκπαιδευτήρια Θεσσαλονίκης
40.5941044,23.0072223,Μελίρρυτο
40.592201,22.9959941,Κτήμα Δέδα
40.5898602,23.0079514,Γυναικολογικό και Μαιευτικό Ιατρείο Πανοράματος Π. Ξηρομερίτη
40.5731029,22.9916525,ΠΑΡΑΔΟΣΙΑΚΟ ΓΕΡΜΑΝΙΚΟ ΑΛΛΑΝΤΟΠΟΙΕΙΟ ΟΞΕΝΚΟΠΦ Ι.Κ.Ε.
40.566413,22.996732,Viva Dance & Fitness Studio
40.5609221,22.9906875,Genea Medical Trade E.E.
40.5712792,22.973182,Ιερός Ναός Κοιμήσεως της Θεοτόκου
40.577941,22.958743,MiniM Καλαμαριάς
40.6049401,23.016501,Αρσάκειο Δημοτικό Σχολείο Θεσσαλονίκης
40.6213817,22.9811687,Εκκλησία Άγιος Γεώργιος
40.6202477,22.9767031,25ο Δημοτικό Σχολείο Θεσσαλονίκης
40.6587468,22.9548868,Lidl
40.6578662,22.9653401,CONNET ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.
40.654865,22.96047,Mycar Carwash - Πλυντήριο Αυτοκινήτων
40.6687847,22.9455464,Ορεξη να'χεις
40.6650162,22.9369588,Τράπεζα Πειραιώς
40.6649711,22.9219182,ΚΕΠ ΕΥΟΣΜΟΥ
40.6643774,22.911596,Nova
40.65657,22.905262,autoXrisafis
